Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-12-2017,0.9687766990910541,0.9945063323832162,0.9526455486741916,0.9462685138585355,0.9696636663574368,1.1061942338687618,0.9926269954345986,0.9440882848325316,0.9591717039869242,0.9826009182860478,0.9560094697906847,0.9991869918699188,0.9759425615414075,0.9554697798787988,0.9958835995344287,0.967005095456639,0.994816616276524,0.9963799434913405,0.9961845442239783,0.9632216077413404,0.9391866093309369,0.9673509722914141,0.9735492193972162,0.9774292314834349,0.9927133261149393,0.9866722701455389,0.9685999286767961,0.9680507276916822,0.9651557449061298,0.9505086049834508,0.9711179737987201,0.9635754159990525,0.9651019113488449,0.9712374210067501,0.9241162178532,0.9956369854553314,0.9982904989878109,0.9985829885474891,0.999218097468253,0.9579518845742442,0.9828041383169758,0.9794386965749717
01-01-2018,0.962720245853979,0.9815442923786168,0.956198165047155,0.9426134529856889,0.9713172719969809,1.143149397514154,0.9968321201528663,0.9523463565882435,0.9999446154863346,0.9860339308417609,0.944335036605277,0.9994918699186992,0.9784656700978032,0.9566212549640978,0.978067092328096,0.9617679866511217,0.9947761661980183,0.991875330306514,0.9978689963344894,0.9465142381205434,0.9815387948387143,0.9682819711293804,0.9829312907874646,0.9709071943931639,0.9950435464447851,0.9991270242347612,0.9787388405761988,0.9737161204936499,0.9624019460278872,0.947056180242142,0.9699303176712831,0.9710979348655487,0.9679240325391025,0.9703866204317043,0.9206220102120418,0.9987077171168045,0.9962425257663232,0.9985554953503886,0.9974230614436304,0.9538982474149629,0.9758042921224589,0.9797788637516087
01-02-2018,0.962878431389441,0.9710078643092206,0.9553870296853992,0.9562594196632356,0.9713937726609391,1.148890242392086,0.9913950995719572,0.948004525311488,0.9993088250774494,0.992300380981314,0.9508479324087697,0.9994918699186992,0.9746652632176347,0.9581883902288297,0.9790885016694079,0.9572193507792529,0.9948467365904444,0.9927365428466648,0.992691067561227,0.9361614434883366,0.96405197153477,0.9611063568007181,0.9734294665761414,0.9730538726827979,0.9917044075459828,0.9993406483920834,0.9780435894785695,0.9619482787946231,0.9653430359419277,0.9453061667956508,0.9732805965363903,0.9742182651757451,0.9686232139440487,0.9647834285993678,0.9083408116351581,0.9967379274841365,0.9938761015373524,0.9983617211464053,0.9978016096294258,0.9530993830424042,0.9790841552147133,0.9790195522976368
01-03-2018,0.956749373953182,0.9634130657479121,0.9622341931496425,0.9540890593409352,0.9659754615410062,0.9952568217943526,0.9905284797502901,0.9464028746086115,0.9899021678284784,0.9932638813481647,0.948954613537371,0.9910416666666666,0.9493448067782302,0.958736007806584,0.9718613778007977,0.953114825838827,0.9976083003455509,0.992100129383759,0.9914867296935318,0.9305353381621604,1.0154361639124894,0.9696173136917565,0.9694462425758377,0.9770180294466054,0.9672146648330718,0.9778762862626323,0.9785312899467504,0.956080731260577,0.9599957523505163,0.9570433223944792,0.9701891656931189,0.9836992435611109,0.9680625573409432,0.9638294309236395,0.9316818080558411,0.9980446647183281,0.9945512945315055,0.9945429830406114,0.9908121377270271,0.9560862111315214,0.9866062482370466,0.9758669938630689
01-04-2018,0.9599641328791756,0.9773326312445905,0.9566001053040386,0.9441175605614937,0.9585508276999574,0.9924825260829636,0.9937575075284859,0.9538210717631781,0.9887716488800963,0.9949521388230057,0.949563570320334,0.985606884057971,0.9453961750016737,0.9591429769388496,0.9468044840813761,0.9542276908831336,0.9975257123976489,0.9942071560201509,0.989253214302289,0.9550666678834093,1.0023249865363328,0.9718163294368823,0.9655824913780526,0.9747871391169729,0.9783515426046108,0.9764947514865832,0.9741677856396764,0.9520596801775323,0.9644254460601631,0.9566463308710967,0.9707937650948024,0.9849282116333294,0.9579169215822699,0.9670113216201255,0.9410744038231127,0.9967399478285816,0.99615428944159,0.9944143617204075,0.9930127567469608,0.9622405638141699,0.9928119202074456,0.9729997638372448
01-05-2018,0.9619032251344661,0.9853868407359864,0.9538293436545945,0.9544549803489838,0.9971372646783033,0.9941295061870283,1.011859298665459,0.957689423475149,0.9842421737948047,0.9862850740929068,0.9462467183654584,0.985606884057971,0.9548027862081865,0.9549941906811978,0.9449160798993906,0.9553303758249538,0.995661479856174,1.0037089244286987,0.9926830103989066,0.980329061538737,0.9810096091404017,0.969911215746326,0.9778251926634008,0.9656007775601649,0.979528706041787,0.9786083179984341,0.9680843130550882,0.961334765455339,0.9635184105264071,0.9608187508146803,0.9684689921269539,0.9765089655593043,0.9634614188368107,0.9700354837005142,0.9594381958891511,1.0131968112640304,0.9946158221319964,0.9925620725141722,0.9943643167325397,0.9613684605940431,0.9895327504185052,0.9734109259394044
01-06-2018,0.9639931131806585,0.9896371633375767,0.9535328904400742,0.9563042528204923,0.9904244447800189,0.9967333559611482,1.004714091080716,0.9558133540923699,1.0001085812715698,0.9851194965780063,0.9592752366825085,0.9792747437212344,0.9626819752246547,0.9563635437076096,0.9458477900248111,0.9526659863613108,0.9841527385404208,1.0169889193592265,0.9958621919198721,1.0520799275505226,0.9895610424000891,0.9631610228969747,0.9795473118971842,0.9728182920355012,0.9868485022757139,0.9793959458945889,0.9641597988205687,0.9681364081288564,0.9714937462421369,0.9749466069830588,0.9712226794342008,0.9790140229598524,0.9663902548383125,0.9699636289414933,0.9645249025412796,1.0066443142761587,0.994729840748323,0.9998599940853189,1.0007790146074689,0.961040297487862,0.9713403013808177,0.9797705454751439
01-07-2018,0.9628191091511712,0.9760101540338175,0.9503355152661785,0.9585243066032306,0.9980910780839457,0.9905514216567539,1.0050888502521427,0.9457824275551965,0.985042240839283,0.9881290921591909,0.9730443156457061,0.9971214466967104,0.9675657521643624,0.955449503899606,0.9618334705281342,0.9538000317486769,0.9871126578548496,1.0153358861944966,0.9993164812200765,0.9907856392374494,0.992115040675201,0.9565912073751698,0.9711925518230253,0.9744281699007493,0.9884552972016584,0.9731790089860762,0.9750467942434536,0.9634138606010866,0.965885708417298,0.9771828685512027,0.9726267517098502,0.9734359328200299,0.9738622427772451,0.9629768518380293,0.9365678150617129,1.0066382106973844,0.9973004586645082,0.9984683686976047,1.0001855402661854,0.961985656637805,0.9673268482149492,0.9781022299490618
01-08-2018,0.9593325242200591,0.9675079893715701,0.9487004519786146,0.9578742562430178,0.9665300850646588,0.988208744965578,0.9948834836319458,0.9293274085528551,0.9866156958111424,0.9931325489261521,0.9815869679884404,0.9982728680180264,0.9684116968606726,0.958309644074352,0.9668014058638789,0.9537243940029723,0.9912522882772596,1.0049496857403335,1.0011252959304597,0.9840215473806649,0.993795526272706,0.9560933070204288,0.9704422739852208,0.976867533312773,0.9873157708591123,0.9751727481472817,0.9837611831292903,0.9630808139617417,0.9669464345145868,0.9704969559611649,0.9745986560169339,0.9706591486393353,0.9695155909667891,0.9644042433417898,0.9362877888045935,0.9967003851069203,0.9984546867397204,0.9991101436575699,1.0001855402661854,0.9672052325203272,0.9721684903704867,0.9797158674943527
01-09-2018,0.9653746052946519,0.9812696393298543,0.9399005201478838,0.9441388797399757,0.9725795078560856,0.9874274974446137,0.9936754020195478,0.9265601060261269,0.9775159118812131,0.9946777426539315,0.9659678353404754,0.9974977252047317,0.9711082746642372,0.9565395506002983,0.9681391875504463,0.9603173570398956,0.9975760402635987,1.0066595877463005,0.9972040621602726,0.9879883166233548,0.9890271644680545,0.9550512155390981,0.9743009306728279,0.963527241009395,0.9940735698655615,0.9790016231480108,0.9843022897165655,0.9636690026986469,0.9613914566087441,0.963060261999152,0.9745649219205708,0.9711870890417752,0.9677955636683746,0.9625586744785993,0.9442339651257063,0.9967496617749374,0.9990457474521962,0.9978957538142399,0.9910149161624868,0.9630784809692083,0.9826907132987667,0.9734040790262655
