Time,Bronx,Brooklyn,Manhattan,Queens,Staten Island
01-11-2019,595.0,1819.0,3864.0,2980.0,1151.0
01-12-2019,589.0,1885.0,3761.0,2985.0,1252.0
01-01-2020,587.0,1868.0,3724.0,2897.0,1199.0
01-02-2020,587.0,1898.0,3812.0,2737.0,1188.0
01-03-2020,537.0,1712.0,3499.0,2511.0,1043.0
01-04-2020,435.0,1392.0,2835.0,1912.0,836.0
01-05-2020,358.0,1245.0,2435.0,1551.0,708.0
01-06-2020,345.0,1193.0,2435.0,1424.0,716.0
01-07-2020,374.0,1254.0,2589.0,1666.0,804.0
01-08-2020,384.0,1183.0,2438.0,1821.0,890.0
01-09-2020,405.0,1186.0,2133.0,1889.0,969.0
01-10-2020,443.0,1435.0,2158.0,2191.0,1295.0
01-11-2020,496.0,1712.0,2399.0,2436.0,1545.0
01-12-2020,551.0,2108.0,2916.0,2954.0,1800.0
01-01-2021,597.0,2198.0,3241.0,2979.0,1744.0
01-02-2021,628.0,2276.0,3728.0,3107.0,1652.0
01-03-2021,654.0,2343.0,4376.0,3152.0,1552.0
01-04-2021,658.0,2502.0,4937.0,3224.0,1501.0
01-05-2021,687.0,2614.0,5537.0,3327.0,1546.0
01-06-2021,695.0,2708.0,6001.0,3346.0,1530.0
01-07-2021,726.0,2825.0,6602.0,3645.0,1618.0
01-08-2021,751.0,3112.0,7181.0,4028.0,1746.0
01-09-2021,738.0,3020.0,7025.0,3946.0,1692.0
01-10-2021,737.0,3031.0,6742.0,3916.0,1708.0
01-11-2021,703.0,2740.0,5921.0,3614.0,1603.0
01-12-2021,765.0,2801.0,5708.0,3701.0,1684.0
01-01-2022,758.0,2651.0,5448.0,3634.0,1634.0
01-02-2022,768.0,2635.0,5585.0,3600.0,1546.0
01-03-2022,707.0,2640.0,5772.0,3557.0,1462.0
01-04-2022,695.0,2578.0,5774.0,3396.0,1370.0
01-05-2022,707.0,2637.0,5988.0,3471.0,1339.0
01-06-2022,718.0,2652.0,6149.0,3600.0,1399.0
01-07-2022,734.0,2750.0,6029.0,3830.0,1509.0
01-08-2022,747.0,2795.0,5891.0,3864.0,1571.0
01-09-2022,733.0,2590.0,5125.0,3627.0,1441.0
01-10-2022,727.0,2319.0,4803.0,3305.0,1294.0
01-11-2022,667.0,2068.0,4096.0,2991.0,1171.0
01-12-2022,604.0,1918.0,3773.0,2715.0,1158.0
01-01-2023,555.0,1792.0,3461.0,2572.0,1040.0
01-02-2023,528.0,1537.0,3178.0,2331.0,931.0
01-03-2023,550.0,1477.0,3172.0,2344.0,833.0
01-04-2023,517.0,1472.0,3376.0,2296.0,847.0
01-05-2023,554.0,1734.0,3891.0,2529.0,981.0
01-06-2023,587.0,1848.0,4141.0,2684.0,1103.0
01-07-2023,624.0,1977.0,4344.0,2781.0,1160.0
01-08-2023,629.0,2111.0,4515.0,2900.0,1219.0
