Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-09-2018,605500.0,1054000.0,774000.0,897500.0,606862.5,832251.3333333334,1466166.6666666667,634875.0,523500.0,1328000.0,623496.75,855217.25,666416.0,689266.4375,415566.6666666667,716000.0,842500.0,1143500.0,2695500.0,368833.3333333333,630925.0,537950.0,327500.0,858214.2857142857,1886249.95,335206.5,478425.0,421500.0,598500.0,501625.0,620688.8,564754.1666666666,494277.77777777775,538333.3333333334,927250.0,1425909.0,1267584.2857142857,1545625.0,590430.0,648125.0,1012333.3333333334,550000.0
01-10-2018,533500.0,1013499.8,744000.0,883750.0,623062.5,868750.0,1472335.4583333333,668000.0,589166.6666666666,1237200.0,664621.75,773703.0,672500.0,679500.0,376000.0,670000.0,797235.2941176471,1294280.5,2611880.5,380750.0,609175.0,540555.5555555555,337500.0,849071.4285714285,1855850.0,424875.0,453500.0,416333.3333333333,605000.0,519025.0,590401.0,569177.6666666666,498311.1111111111,529666.6666666666,974875.0,1251075.0,1335125.0,1441750.0,587200.0,677187.5,976500.0,561250.0
01-11-2018,556597.0,1019676.4,746875.0,950750.0,599750.0,828395.0,1392346.6666666667,667500.0,589333.3333333334,1218000.0,631715.5,1082625.0,668250.0,723364.25,387666.6666666667,688333.3333333334,794085.9411764706,1214750.0,2666666.6666666665,338947.1666666667,609750.0,523777.77777777775,321250.0,931785.7142857143,2245249.9,471874.875,490912.5,440333.3333333333,633150.0,508015.0,622538.8,542174.1666666666,489333.3333333333,532333.3333333334,990000.0,1217741.6666666667,1262142.857142857,1299000.0,573000.0,709562.5,974729.0,572000.0
01-12-2018,567736.0,881021.8,824750.0,939649.0,627687.5,822166.25,1531277.5,657250.0,551666.6666666666,1449800.0,659918.0,1089375.0,658750.0,727875.0,436833.3333333333,697500.0,763495.7647058824,1178500.0,2692574.0,360995.6666666667,600000.0,519111.1111111111,303750.0,855000.0,2280037.5,502375.0,497416.6666666667,451250.0,653691.25,515500.0,634804.3,581512.5,498722.22222222225,526000.0,1077250.0,1149583.3333333333,1217214.2857142857,1339687.5,521638.8,707750.0,1051000.0,570000.0
01-01-2019,552250.0,913163.1,808125.0,861706.625,610500.0,746166.25,1488041.6666666667,631491.875,531666.6666666666,1480903.0,635622.875,1062500.0,627125.0,735807.125,481666.6666666667,725833.3333333334,809029.4117647059,1160037.5,2757500.0,435495.6666666667,673000.0,540222.2222222222,312500.0,836428.5714285715,2054505.8,420937.5,511916.6666666667,466333.3333333333,626750.0,516875.0,633190.0,561437.5,513227.6666666667,552666.6666666666,1178250.0,1164196.6666666667,1145314.2857142857,1301875.0,493345.2,707937.5,940416.6666666666,531000.0
01-02-2019,599125.0,883000.0,778250.0,861875.0,627500.0,707166.6666666666,1546948.9166666667,656125.0,488333.3333333333,1401800.0,664000.5,1062500.0,605000.0,697250.0,471291.6666666667,723333.3333333334,827000.0,1398750.0,2725000.0,398331.6666666667,655500.0,527888.8888888889,295000.0,883591.0714285715,1877146.8,389625.0,511249.9166666667,464768.3333333333,603750.0,502187.5,627950.0,576475.0,525833.3333333334,555000.0,1158750.0,1141333.3333333333,1041389.6428571428,1292500.0,509403.7,661437.5,824904.0,490000.0
01-03-2019,603000.0,998588.8,718250.0,772937.5,600000.0,777749.8333333334,1618640.4166666667,642375.0,535000.0,1276300.0,633558.75,1042500.0,617500.0,651993.0,436333.3333333333,693500.0,872470.5882352941,1180001.0,2831597.8333333335,354188.5,697500.0,559488.8888888889,280000.0,833607.1428571428,2011651.95,364372.5,482583.25,476596.6666666667,580125.0,489362.5,610780.0,563179.1666666666,543444.4444444445,538741.0,1145000.0,1150606.3333333333,1125571.4285714286,1339062.5,566003.7,685220.375,741558.6666666666,499500.0
01-04-2019,536500.0,1007018.6,705500.0,865297.625,600500.0,808750.0,1573846.4166666667,643250.0,554166.6666666666,1240000.0,651880.0,647500.0,622250.0,610125.0,433983.3333333333,645296.0,887806.9411764706,1187591.5,2461000.0,327098.6666666667,601875.0,555526.6666666666,294112.5,852714.2142857143,2126000.0,501246.25,491275.0,460666.6666666667,615000.0,483125.0,605130.0,552333.3333333334,532861.1111111111,517500.0,1045000.0,1277216.0,1229821.4285714286,1624375.0,542168.0,681375.0,908333.3333333334,530000.0
01-05-2019,601250.0,1001018.6,714500.0,900007.125,585000.0,902833.3333333334,1554021.1666666667,623500.0,532500.0,1214650.0,716940.0,714500.0,660400.0,646562.5,325000.0,660110.6666666666,788682.8823529412,1202592.0,2450000.0,316098.6666666667,596875.0,553388.8888888889,294350.0,841968.2142857143,2113750.0,426125.0,477008.3333333333,435000.0,596875.0,507450.0,603500.0,538666.6666666666,518611.1111111111,532166.6666666666,912250.0,1271522.8333333333,1206107.142857143,1884375.0,639400.0,712812.5,931500.0,569375.0
01-06-2019,609000.0,962000.0,654176.25,1014000.0,606250.0,804075.0,1672896.375,639625.0,571666.6666666666,1486900.0,839250.0,770860.0,636000.0,673805.0,312250.0,682666.6666666666,869941.1764705882,1213422.75,2953506.3333333335,375333.3333333333,607107.75,536888.8888888889,291250.0,860343.6428571428,2140960.5,480372.5,499125.8333333333,445333.3333333333,591250.0,514790.0,577100.0,570000.0,520166.6666666667,535000.0,896250.0,1368355.6666666667,1380874.5714285714,1913757.75,625550.0,708000.0,974186.1666666666,550000.0
