Time,Bayside - Little Neck,Bedford Stuyvesant - Crown Heights,Bensonhurst - Bay Ridge,Borough Park,Canarsie - Flatlands,Central Harlem - Morningside Heights,Chelsea - Clinton,Coney Island - Sheepshead Bay,Crotona - Tremont,Downtown  - Heights - Slope,East Flatbush - Flatbush,East Harlem,East New York,Flushing - Clearview,Fordham - Bronx Park,Fresh Meadows,Gramercy Park -  Murray Hill,Greenpoint,Greenwich Village - Soho,High Bridge - Morrisania,Hunts Point - Mott Haven,Jamaica,Kingsbridge - Riverdale,Long Island City - Astoria,Lower Manhattan,Northeast Bronx,Pelham - Throgs Neck,Port  Richmond,Ridgewood - Forest Hills,Rockaway,South Beach - Tottenville,Southeast Queens,Southwest Queens,Stapleton - St. George,Sunset Park,Union Square - Lower East Side,Upper East Side,Upper West Side,Washington Heights - Inwood,West Queens,Williamsburg - Bushwick,Willowbrook
01-04-2018,364.230283329548,714.2788556002772,535.4133645949935,546.7310621002001,360.4235880398671,857.6781316433566,1581.2149121906452,452.12776394987605,217.15120621459923,1142.5681850606284,534.7825033199961,781.2544420615588,360.6443908463074,528.4792954801785,219.90591860315484,501.41920636599,1280.7428335693994,1210.9472077253524,1971.5694407392657,224.2524977401745,207.92349122991453,541.0715311583376,295.5725035590807,863.5830215096117,1484.8615826928567,237.64692425305236,297.9117338676015,270.37772840557346,426.6944470316181,280.35786109315524,325.42645833511324,348.7297225988,331.42544590502206,322.5629124876338,611.3677152315231,1732.4632665941392,1249.654779611272,1552.1402259735266,687.9418831427463,413.05206103623954,778.6942640691899,327.53077355377894
01-05-2018,389.8656337535014,728.1841226955391,541.8085904225769,607.4336311347904,348.34402822167743,860.6840109233787,1686.3682574411853,457.5703061001027,213.46263414108242,1134.8241186854164,538.0714632476117,770.1210194823532,399.39155165743614,491.09404256062635,229.02893833126393,511.6003990547529,1286.3479599836714,1213.9589791000126,2153.831764168203,241.035946895205,243.6879904118408,318.63319189564464,290.04120879120876,900.3664214154938,1492.8271586701742,252.09542119538466,279.7368292710703,263.55928940053525,415.3832720842701,344.79430032454684,324.9992786675116,340.5610627996611,343.98424529573435,321.65536817501874,624.0902662022589,1699.25365944991,1278.1959230429436,1487.9127541373507,668.7382514245826,424.38216672658683,696.5596780948299,329.54545454545456
01-06-2018,408.7981718867913,712.7304848245345,550.3095433977787,613.9565955590392,347.4492502258356,854.4737551254475,1649.0198730845468,465.77230408928824,224.44837235133286,1150.8852360942424,567.401006195488,679.6296296296296,428.6968165542642,437.87876481942186,235.74985994027315,467.11737609178,1201.5855775499042,1210.6951815193142,2144.1904324006014,284.5998055085012,258.8168631501975,307.4535999983392,278.57142857142856,922.7180160000784,1485.3382338403358,254.41104822592396,285.1934399282786,284.43964261945104,441.0483005024245,343.34791716029827,324.61645486577953,355.5571418887903,345.4762857212025,325.2306141223132,642.4710430479408,1649.6034512023855,1241.4956589554956,1480.4193721414235,707.686279395675,442.9130560237847,793.1877650333505,329.54545454545456
01-07-2018,456.34248447907646,685.6501237787967,536.3481132429558,632.7818846944848,359.655648857874,870.4261393377104,1706.8563688526253,445.9391017052794,239.25660644410644,1156.865220038052,518.3509465258711,781.7129629629629,432.61610947453914,473.20597485784117,233.8280281605139,517.1460990554325,1176.2912484840465,1140.6811275408204,2129.587818493541,280.3681134898115,257.0369630108822,303.804330692796,292.28125,888.5947193541093,1463.103502407419,244.636133012121,279.32696777830273,275.5235633578788,458.15737494858877,324.1618230130693,327.55689317303614,354.3306184483278,350.44221435626486,332.06995433130015,642.0019414575866,1690.2314182725092,1218.8687230501648,1426.4321198960522,699.504408795284,431.277258147486,737.3844744797753,337.77777777777777
01-08-2018,475.9571763082018,652.9835027171956,546.5331005635146,598.0911196418633,388.0971436606448,831.7982915579315,1574.5753707401857,449.1298569451772,248.80190796857462,1140.8914555175538,529.2005584596513,1038.40837020649,365.0430075316672,486.9741044921171,239.10829318301475,484.20871510302413,1220.522643704298,1124.1083846733989,2082.806060909229,277.17733000904923,271.33851698440986,319.44708107448463,312.2142857142857,790.0008941552079,1421.3941236138191,245.71006107784027,283.6349305207975,281.5437406521094,464.78246200059925,324.2282791467046,334.84100355935755,361.9274245905145,363.4316436979806,333.3656397340608,644.398148148148,1657.5709979438336,1212.8511867811972,1459.203635763892,724.7267690800097,446.22069284226654,763.2121845740215,338.0426775099851
01-09-2018,500.18731594252506,679.8017829107414,538.3464279501093,614.9818651281325,388.2272798557202,849.9859281934446,1559.176969350501,450.44092379677033,243.77352509328952,1131.829751967087,579.3646766742451,986.7507755409108,344.3476558196953,536.3986477533541,240.39404179276713,523.4748471600828,1247.3150017732448,1120.9364710777127,2031.1332710196973,398.5188427656458,264.89069583619585,323.01553382892104,311.38338592800375,786.0410586746469,1447.534593380729,243.7875356126944,286.1310916570017,279.9955197132617,452.3600808607324,334.49237879467086,336.24363013116226,361.14637897717466,369.9760337124279,339.3850787062377,669.8605601878087,1665.8819981385832,1203.3746559998929,1464.3817263317435,677.789012802673,437.9032117701251,781.365662310924,341.0344190487493
01-10-2018,480.11697718323524,658.0473567734426,557.4772813650918,627.5338956621734,389.5222832722833,846.661154187558,1575.161013450096,480.1454345797177,208.56099662842794,1094.1774773055954,578.979870914989,1117.467421691604,356.4147960188153,545.317811282064,211.5148018780766,497.47061060296346,1240.7176320648612,1126.4043424068616,1922.0014076131956,334.07803682424645,269.01348641324245,311.1507188993107,304.0208855472014,882.4654050913829,1460.8155569680673,267.81847245127915,279.7258543124004,295.5573323856906,458.93435928488293,323.50967873358,336.85684691221775,371.4220829663277,365.63534915551486,333.9811755594969,638.5588972431078,1622.572913292951,1218.5486111611638,1448.9018291799682,671.282073260953,455.80588743364854,769.8005699526954,340.7494735702759
01-11-2018,488.99074615091223,658.5994140754334,544.9259791095718,657.923694646586,381.490900641839,952.5829390877074,1551.8644913119058,510.52286466636906,226.99283770094394,1055.9331458282072,538.1621142946932,929.0578403383437,373.55881540752625,545.5030023776036,228.63044671779062,496.0971333284288,1249.9503544515899,1002.9950078391914,1839.1580174833682,360.9832554636618,263.6935465382852,326.2992073809846,299.4886363636364,909.1857627339392,1560.59216583652,268.19100906620594,294.7686297687802,285.2132516488235,487.889057328382,314.3875445896109,338.6786287917515,378.0152229738521,362.35476768756985,338.04189669909744,683.9514692787177,1525.444376358978,1219.9184243443303,1388.776837050193,670.9408202353019,466.4399996550837,704.2173998849308,342.4311094996374
01-12-2018,473.20484941890595,644.8684999841522,552.0079792852467,636.6238178931765,391.10976301378776,970.6173602974378,1625.4973868949758,512.3468761833276,221.988387147829,1067.1651144035234,524.5264185118101,1047.0238679447612,355.95957780360754,521.4523503121667,229.9546825219551,497.47426397182926,1243.6906686217312,998.7944285761187,1792.6118652589241,350.5633747384234,249.50903704941345,328.4249905151387,297.3046969696969,899.8576253918461,1494.7761497655013,274.5702999334562,294.74203991064473,302.98541841217366,478.57333815128504,307.2107469902877,336.4547288614322,401.1880680595043,362.61152386156107,338.94215741332147,660.8528079103522,1438.1217400277685,1225.150630987639,1383.6737535956333,663.0372834527124,480.2523508459104,554.1102152473841,339.9629972247919
01-01-2019,451.5992466275269,668.119959196178,537.9450000969631,588.7433708446658,394.681448217794,917.1665089657171,1598.3711082949021,488.2963356243173,229.24207885515978,1050.1370268402493,549.885081485542,981.3142997706261,370.10380663397905,540.0813029779423,245.03081307670678,513.9231139231139,1243.4052344008862,1044.1580147826703,1765.6932329215604,432.691567077904,263.06417714933195,348.2599979924775,297.0652734778122,907.3993195645504,1463.953579963016,245.7719796198761,306.85389310249377,306.90024640760265,455.3129709628864,318.2443029128689,337.4224378796833,398.9592012823792,369.42436018891357,349.77707645659893,585.4233363535689,1358.3705163107818,1133.2105772287168,1415.756302245164,643.1104890278541,486.4621655307135,614.8604168087661,340.651536539071
